A0A6P2D7J8	A0A6P2D7J8	1.000	308	5.518E-99
A0A6P2D7J8	A0A6P2D6N4	0.958	164	1.172E-48
A0A6P2CWK6	A0A6P2CWK6	1.000	383	4.482E-124
A0A381YI49	A0A381YI49	1.000	315	3.793E-101
A0A381YI49	A0A381ZVK2	0.622	180	2.935E-54
A0A381YI49	A0A2H9TBZ9	0.587	166	2.523E-49
A0A381YI49	A0A381YCQ9	0.528	141	1.484E-40
A0A381YI49	A0A381Q0T0	0.506	139	5.240E-40
A0A381YI49	A0A381PM74	0.505	137	2.537E-39
A0A381YI49	A0A484RFP6	0.495	133	8.143E-38
A0A381YI49	A0A381XUL9	0.477	128	4.909E-36
A0A381YI49	A0A381UKZ5	0.472	128	4.909E-36
A0A381YI49	A0A381NTP3	0.474	126	1.264E-35
A0A381YI49	A0A6J6CM05	0.461	126	1.732E-35
A0A381YI49	A0A383EVV5	0.607	126	2.374E-35
A0A381YI49	A0A644TR86	0.462	124	8.379E-35
A0A381YI49	A0A382BSA6	0.461	124	1.148E-34
A0A381YI49	A0A6J6F1Z8	0.454	121	7.611E-34
A0A381YI49	A0A381Z5C4	0.454	121	7.611E-34
A0A381YI49	A0A6J6BED1	0.449	120	2.685E-33
A0A381YI49	A0A381TAP7	0.440	119	5.043E-33
A0A381YI49	A0A382JQW3	0.446	117	2.437E-32
A0A381YI49	A0A381SM42	0.435	116	4.577E-32
A0A381YI49	A0A6J5ZDS3	0.442	116	6.273E-32
A0A381YI49	A0A644WAX3	0.457	112	1.464E-30
A0A381YI49	A0A2P2C335	0.428	111	2.750E-30
A0A381YI49	A0A094PRH3	0.417	109	1.820E-29
A0A381YI49	A0A644YX24	0.419	108	3.416E-29
A0A381YI49	A0A382YNP5	0.404	108	4.680E-29
A0A381YI49	A0A6J6BMV8	0.399	107	6.412E-29
A0A381YI49	A0A381QJF2	0.416	107	8.785E-29
A0A381YI49	A0A094PXK9	0.408	106	2.259E-28
A0A381YI49	A0A382AXX9	0.421	105	4.240E-28
A0A381YI49	A0A2P2C6S4	0.403	104	5.809E-28
A0A381YI49	A0A6J5ZBM4	0.424	104	1.090E-27
A0A381YI49	A0A382WL77	0.420	103	1.494E-27
A0A381YI49	A0A382BJP1	0.431	103	2.046E-27
A0A381YI49	A0A382TN05	0.408	101	7.206E-27
A0A381YI49	A0A644XIS9	0.394	101	9.871E-27
A0A381YI49	A0A381UMH9	0.388	101	9.871E-27
A0A381YI49	A0A6J6D5R5	0.395	100	2.537E-26
A0A381YI49	A0A6J6ASR3	0.411	100	2.537E-26
A0A381YI49	A0A645B269	0.389	98	6.520E-26
A0A381YI49	A0A382BC58	0.385	98	6.520E-26
A0A381YI49	A0A381RUV8	0.403	98	6.520E-26
A0A381YI49	A0A380TAR9	0.391	96	3.143E-25
A0A381YI49	A0A644ZDJ2	0.384	96	4.305E-25
A0A381YI49	A0A6J6FLY4	0.371	96	4.305E-25
A0A381YI49	A0A6J6AEE3	0.399	96	5.896E-25
A0A381YI49	A0A645BU40	0.377	95	1.106E-24
A0A381YI49	A0A645G9J6	0.402	94	1.515E-24
A0A381YI49	A0A382X5I9	0.386	84	5.347E-21
A0A381YI49	A0A381W471	0.352	82	3.515E-20
A0A381YI49	A0A382J1X9	0.319	74	2.537E-17
A0A644UCN4	A0A644UCN4	1.000	1495	0.000E+00
